person_id,zone_id,nearest_station_id,walking_distance_m,walking_time_min,price_eur,availability,purpose,choice
64,8,8,507.4,6.34,0.75,0.563,commute,1
65,80,26,563.2,7.04,1,0.413,commute,1
66,48,19,544.9,6.81,0.75,0.842,study,1
67,17,3,1924.3,24.05,1,0.393,commute,0
68,74,11,640.3,8,1.75,0.817,commute,0
69,14,25,1516.8,18.96,1,0.71,study,0
70,24,21,1898.1,23.73,1.5,0.807,study,1
71,40,3,1672.6,20.91,0.75,0.49,study,0
72,24,21,1851.3,23.14,1,0.974,commute,0
73,37,30,1840.3,23,1.5,0.38,shopping,0
74,34,13,2254.8,28.19,1,0.842,shopping,0
75,18,21,460.9,5.76,1.5,0.361,commute,0
76,56,14,1235.2,15.44,0.75,0.431,study,0
77,9,19,693.8,8.67,1.25,0.762,study,0
78,14,25,984.2,12.3,1.25,0.822,shopping,0
79,65,28,709.8,8.87,1.75,0.767,shopping,1
80,58,26,1216.4,15.2,1,0.547,study,1
81,18,21,530.4,6.63,1,0.844,study,0
82,67,25,1479.2,18.49,1,0.797,commute,1
83,58,26,1134.8,14.18,0.5,0.611,commute,1
84,74,11,401.6,5.02,1.75,0.825,commute,0
85,19,17,461.8,5.77,1.5,0.47,commute,1
86,14,25,1424,17.8,1.75,0.718,commute,0
87,17,3,1165.7,14.57,0.75,0.392,leisure,1
88,65,28,822.2,10.28,1.75,0.612,commute,0
89,67,25,2049.9,25.62,1.5,0.554,leisure,0
90,8,8,358.3,4.48,1,0.649,leisure,0
91,45,28,1055.9,13.2,0.75,0.715,leisure,0
92,78,26,749,9.36,1.75,0.615,commute,0
93,57,25,660.5,8.26,1.75,0.692,leisure,1
94,6,28,1996.9,24.96,1.75,0.729,commute,0
95,45,28,1286.8,16.09,1.75,0.625,commute,0
96,79,28,578.5,7.23,0.75,0.616,shopping,0
97,75,10,1307.1,16.34,1.5,0.572,study,1
98,46,21,2616.1,32.7,1.25,0.783,shopping,1
99,71,19,1616,20.2,0.5,0.61,study,0
100,15,26,1813.4,22.67,0.75,0.4,commute,0
101,76,2,396.9,4.96,0.5,0.588,commute,1
102,22,20,1445.1,18.06,0.75,0.43,commute,0
103,76,2,627.2,7.84,0.5,0.539,leisure,1
104,29,24,421.1,5.26,1,0.675,study,1
105,23,28,1142.7,14.28,1,0.614,commute,0
106,48,19,571.5,7.14,0.75,0.75,leisure,1
107,48,19,793.1,9.91,1,0.665,commute,1
108,50,25,1769.2,22.11,0.75,0.81,commute,0
109,45,28,940.2,11.75,1.5,0.769,commute,1
110,34,13,2503.2,31.29,1,0.826,commute,1
111,74,11,462.4,5.78,1.75,0.883,study,1
112,53,5,1388.3,17.35,0.75,0.967,leisure,0
113,28,30,298.9,3.74,1.75,0.654,leisure,0
114,56,14,1529.2,19.12,1.5,0.222,commute,0
115,77,27,506.7,6.33,1.75,0.742,shopping,1
116,5,28,2052.7,25.66,1,0.697,leisure,0
117,27,21,1693.8,21.17,0.5,0.926,commute,0
118,13,1,814.7,10.18,1.5,0.661,shopping,0
119,76,2,583.8,7.3,0.5,0.231,shopping,1
120,54,14,1602.2,20.03,2,0.444,leisure,0
121,54,14,1456.5,18.21,1.25,0.367,leisure,0
122,43,28,2154.9,26.94,0.75,0.753,leisure,0
123,6,28,2410,30.13,1.75,0.526,commute,0
124,77,27,417.6,5.22,2,0.98,commute,1
125,71,19,1627,20.34,1.25,0.698,study,1
126,67,25,1451,18.14,2,0.674,commute,0
127,17,3,1827.8,22.85,2,0.418,commute,0
128,24,21,1168.5,14.61,1.25,0.869,leisure,0
129,33,18,671.4,8.39,2,0.295,shopping,0
130,80,26,602.3,7.53,1.75,0.878,study,0
131,14,25,1665.9,20.82,1.75,0.692,commute,1
132,35,8,491.5,6.14,1.5,0.544,leisure,0
133,62,28,895.4,11.19,1,0.573,leisure,0
134,62,28,993.9,12.42,0.5,0.676,study,1
135,43,28,3201.2,40.01,1.5,0.891,leisure,0
136,35,8,385.8,4.82,1.25,0.693,shopping,0
137,51,15,741.2,9.27,1.75,0.681,leisure,0
138,22,20,1082.3,13.53,1.25,0.709,commute,0
139,14,25,1345.5,16.82,1.5,0.629,study,0
140,20,4,335,4.19,1,0.562,study,0
141,52,2,520.7,6.51,1.25,0.592,study,0
142,22,20,1529.7,19.12,0.75,0.607,leisure,1
143,17,3,2345.8,29.32,1.5,0.229,commute,0
144,14,25,1200.1,15,0.75,0.639,study,1
145,66,17,1320.4,16.51,1,0.312,study,0
146,14,25,1392,17.4,0.75,0.65,commute,0
147,45,28,1060.5,13.26,0.5,0.581,commute,1
148,65,28,543.6,6.79,0.75,0.801,commute,1
149,50,25,1536.4,19.2,1,0.796,commute,1
150,48,19,712.2,8.9,1,0.98,commute,1
151,65,28,528.7,6.61,0.5,0.663,shopping,1
152,14,25,946.1,11.83,1,0.636,leisure,0
153,79,28,643.6,8.04,0.75,0.733,commute,1
154,10,11,760.3,9.5,1.75,0.971,leisure,1
155,57,25,768.9,9.61,1,0.691,commute,1
156,59,28,3370.9,42.14,1.25,0.682,commute,0
157,58,26,952.6,11.91,1,0.49,study,1
158,39,19,1416.1,17.7,1,0.757,commute,1
159,76,2,561.5,7.02,1.25,0.338,commute,0
160,10,11,1136.9,14.21,2,0.703,study,1
161,14,25,1130.5,14.13,1,0.56,leisure,0
162,10,11,895.7,11.2,1.25,0.734,shopping,1
163,28,30,334.3,4.18,0.75,0.461,leisure,0
164,78,26,845.1,10.56,1.25,0.71,leisure,1
165,57,25,472.3,5.9,0.5,0.686,study,1
166,23,28,830.2,10.38,1.5,0.765,leisure,1
167,67,25,1558,19.47,1.5,0.757,study,1
168,12,8,1443.1,18.04,1.25,0.785,commute,0
169,68,11,250,3.12,1.75,0.856,leisure,1
170,40,3,1442.5,18.03,1.25,0.464,leisure,0
171,24,21,2180.8,27.26,1,0.732,commute,0
172,52,2,546.5,6.83,1.25,0.569,leisure,0
173,79,28,640.8,8.01,0.75,0.55,commute,1
174,13,1,1440,18,1.5,0.717,commute,0
175,22,20,1862.8,23.29,1.5,0.4,study,0
176,70,14,1451.3,18.14,0.75,0.242,leisure,0
177,68,11,221.4,2.77,1.75,0.621,leisure,1
178,54,14,1205,15.06,1.25,0.442,study,1
179,78,26,801.8,10.02,0.75,0.548,study,1
180,13,1,1382.8,17.28,1.25,0.856,commute,1
181,14,25,1520.4,19,0.75,0.941,leisure,1
182,19,17,353.2,4.41,0.75,0.372,study,1
183,9,19,585.5,7.32,0.75,0.797,commute,1
184,63,11,562.7,7.03,1.75,0.431,study,0
185,80,26,570.9,7.14,1.5,0.651,leisure,0
186,8,8,263.7,3.3,0.5,0.681,study,1
187,1,19,1901.9,23.77,1.25,0.734,commute,0
188,17,3,1635.9,20.45,1,0.294,shopping,0
189,80,26,730.3,9.13,1,0.5,study,1
190,50,25,1443.1,18.04,1.25,0.696,commute,1
191,67,25,1087.1,13.59,1,0.797,commute,1
192,16,25,1246.1,15.58,1.5,0.715,study,0
193,9,19,899.7,11.25,2,0.719,commute,0
194,3,12,493.9,6.17,1.5,0.547,leisure,1
195,77,27,455.9,5.7,1.75,0.86,commute,1
196,35,8,482.3,6.03,1.25,0.503,commute,1
197,6,28,1986.4,24.83,1,0.766,commute,1
198,15,26,1428.4,17.86,1.75,0.556,commute,0
199,16,25,1048.6,13.11,1.25,0.854,leisure,1
200,3,12,598.2,7.48,1.5,0.616,leisure,0
201,18,21,588.6,7.36,1.5,0.668,study,0
202,65,28,748.4,9.36,1,0.727,study,1
203,3,12,484.6,6.06,1,0.461,commute,1
204,14,25,1517,18.96,1.25,0.98,shopping,1
205,4,5,1935.9,24.2,1,0.774,study,0
206,72,28,1793.2,22.42,1.5,0.909,commute,1
207,67,25,1337.9,16.72,0.5,0.547,commute,1
208,14,25,1363.5,17.04,1.25,0.797,commute,0
209,63,11,436.9,5.46,1.75,0.974,study,1
210,68,11,269.1,3.36,1.25,0.639,leisure,1
211,45,28,906.7,11.33,2,0.737,commute,0
212,45,28,819.4,10.24,1,0.814,commute,0
213,39,19,1440.8,18.01,1,0.839,study,0
214,16,25,1431.9,17.9,1,0.699,commute,1
215,8,8,397.4,4.97,0.75,0.885,commute,1
216,31,12,691.2,8.64,1.5,0.548,commute,0
217,28,30,296.9,3.71,1.5,0.476,commute,1
218,31,12,862,10.78,1,0.698,study,0
219,7,26,306.5,3.83,1.75,0.608,study,1
220,19,17,416.6,5.21,1.5,0.496,study,0
221,15,26,1455,18.19,0.75,0.416,shopping,1
222,70,14,1001.6,12.52,1.5,0.247,leisure,0
223,58,26,1313.8,16.42,1,0.574,study,0
224,51,15,654.8,8.19,1.25,0.767,commute,0
225,17,3,1789.9,22.37,1,0.406,shopping,0
226,14,25,1453.2,18.17,1.5,0.797,leisure,0
227,24,21,1458.7,18.23,1.25,0.716,commute,0
228,57,25,818.1,10.23,1,0.678,commute,1
229,41,26,2437,30.46,0.5,0.546,commute,0
230,40,3,2361.9,29.52,1,0.406,study,0
231,57,25,658.1,8.23,1.25,0.723,shopping,1
232,6,28,1537.4,19.22,1.75,0.713,commute,0
233,14,25,1885.8,23.57,0.5,0.863,commute,1
234,46,21,1441.7,18.02,0.5,0.79,leisure,0
235,32,23,982.9,12.29,0.5,0.881,leisure,0
236,40,3,1236.2,15.45,1,0.312,leisure,0
237,2,8,486.1,6.08,1.75,0.494,study,1
238,35,8,552.7,6.91,1.25,0.647,commute,1
239,37,30,2237,27.96,1.25,0.537,study,0
240,51,15,656.7,8.21,0.75,0.901,study,1
241,46,21,1699.2,21.24,1,0.711,commute,0
242,17,3,1349,16.86,1.25,0.478,study,0
243,64,28,252.7,3.16,1.25,0.693,commute,1
244,43,28,2962.4,37.03,1.25,0.98,commute,0
245,45,28,1437.7,17.97,1.5,0.777,leisure,1
246,24,21,1802.4,22.53,1.75,0.719,leisure,1
247,23,28,628.6,7.86,1,0.782,study,0
248,63,11,396.1,4.95,0.75,0.739,study,1
249,6,28,1665.5,20.82,1.25,0.797,study,0
250,78,26,1194.4,14.93,1.5,0.678,shopping,0
251,20,4,344.6,4.31,0.5,0.536,leisure,1
252,14,25,1269.7,15.87,1.5,0.586,shopping,0
253,53,5,1737.8,21.72,1,0.787,commute,1
254,58,26,1219.2,15.24,1.25,0.738,shopping,0
255,67,25,1113.7,13.92,1,0.623,commute,1
256,23,28,675.1,8.44,1.25,0.744,commute,0
257,29,24,393.4,4.92,1,0.668,commute,0
258,64,28,412.6,5.16,1,0.536,leisure,1
259,27,21,2390,29.88,1,0.577,commute,0
260,65,28,648.7,8.11,0.75,0.713,leisure,0
261,45,28,1269.3,15.87,1.75,0.695,commute,1
262,80,26,480.9,6.01,1.75,0.347,commute,0
263,13,1,1485.9,18.57,0.75,0.899,leisure,0
264,68,11,167,2.09,1.5,0.743,commute,1
265,24,21,2054.5,25.68,1.25,0.767,commute,0
266,5,28,2307.7,28.85,0.75,0.669,commute,0
267,23,28,678.4,8.48,1.25,0.662,commute,1
268,39,19,1058.8,13.23,0.75,0.803,leisure,0
269,28,30,226.4,2.83,1.25,0.695,commute,1
270,32,23,885.3,11.07,0.5,0.883,shopping,0
271,60,10,1405.4,17.57,0.5,0.563,study,1
272,48,19,832.7,10.41,1,0.885,shopping,1
273,28,30,391.7,4.9,1.25,0.279,commute,0
274,41,26,1422.3,17.78,1.5,0.436,commute,0
275,13,1,1160.8,14.51,1,0.739,leisure,1
276,38,23,1937.9,24.22,1.75,0.709,study,1
277,16,25,2264.8,28.31,1.25,0.866,study,0
278,75,10,1707.4,21.34,1.75,0.67,leisure,0
279,3,12,724.5,9.06,1.25,0.396,leisure,1
280,74,11,424.4,5.3,0.75,0.777,shopping,1
281,27,21,1654,20.68,1,0.724,shopping,0
282,17,3,2035.8,25.45,1.5,0.361,shopping,0
283,45,28,1214.7,15.18,1.75,0.556,commute,0
284,30,4,2210.6,27.63,1,0.493,study,0
285,77,27,452.4,5.65,1.5,0.721,commute,0
286,8,8,291.2,3.64,1,0.955,study,1
287,25,10,1112.9,13.91,1,0.809,commute,1
288,22,20,1697.1,21.21,0.5,0.433,commute,1
289,46,21,1043,13.04,1.25,0.787,shopping,0
290,2,8,393.2,4.91,1,0.524,commute,0
291,13,1,928.4,11.6,1.75,0.785,leisure,0
292,37,30,2379,29.74,2,0.464,commute,0
293,67,25,1187.9,14.85,1.25,0.899,commute,1
294,65,28,692.3,8.65,0.75,0.822,commute,1
295,27,21,1950.4,24.38,1.75,0.775,shopping,0
296,75,10,1631.1,20.39,1.5,0.742,shopping,0
297,22,20,1035.6,12.95,1.5,0.704,study,0
298,47,19,1824.6,22.81,1,0.63,leisure,0
299,58,26,1193.1,14.91,1,0.523,leisure,1
300,1,19,2111.6,26.39,1.5,0.75,leisure,0
301,50,25,1245,15.56,0.5,0.716,commute,1
302,57,25,504.3,6.3,1.75,0.74,commute,1
303,70,14,1721.6,21.52,0.75,0.298,commute,0
304,59,28,3557.5,44.47,0.5,0.763,leisure,0
305,4,5,1548.9,19.36,1.75,0.854,study,1
306,68,11,232.6,2.91,1.25,0.593,leisure,1
307,57,25,734.4,9.18,1.25,0.568,commute,1
308,58,26,935.8,11.7,0.75,0.572,commute,1
309,55,10,860.8,10.76,1.75,0.628,shopping,1
310,22,20,1249.7,15.62,1.75,0.528,shopping,0
311,67,25,1712.6,21.41,0.75,0.499,commute,1
312,41,26,1858.8,23.24,1,0.689,study,1
313,13,1,1416.7,17.71,1.5,0.621,study,0
314,48,19,634,7.93,0.75,0.705,leisure,1
315,8,8,475.8,5.95,1.5,0.459,leisure,0
316,14,25,1525.1,19.06,1.25,0.482,commute,0
317,47,19,1825.1,22.81,1.25,0.778,study,1
318,14,25,1507.4,18.84,2,0.645,commute,0
319,23,28,811.8,10.15,1.75,0.527,commute,0
320,47,19,2277.5,28.47,1,0.893,study,0
321,67,25,2171.2,27.14,0.75,0.608,leisure,0
322,27,21,2769.2,34.62,0.5,0.807,commute,0
323,10,11,1386.7,17.33,1.25,0.732,study,0
324,5,28,1583.4,19.79,0.75,0.83,commute,0
325,57,25,429.3,5.37,1,0.709,leisure,1
326,32,23,1161.9,14.52,1,0.637,commute,1
327,60,10,1557.5,19.47,1.25,0.666,commute,0
328,50,25,887.2,11.09,1.25,0.832,study,1
329,52,2,689.6,8.62,1,0.349,commute,0
330,29,24,354.8,4.44,1.5,0.534,shopping,0
331,54,14,1222.3,15.28,1.5,0.566,commute,1
332,68,11,276.7,3.46,1,0.745,leisure,0
333,50,25,1011.3,12.64,0.75,0.667,commute,1
334,70,14,1779.2,22.24,1,0.423,commute,0
335,35,8,493.6,6.17,0.5,0.697,commute,1
336,64,28,358.7,4.48,1.25,0.856,leisure,1
337,3,12,645.8,8.07,2,0.499,leisure,1
338,77,27,432.5,5.41,1.5,0.973,shopping,0
339,17,3,1578.4,19.73,0.75,0.516,study,0
340,7,26,326,4.07,1.25,0.541,study,1
341,1,19,1881.6,23.52,1.5,0.897,commute,0
342,50,25,1331.4,16.64,0.75,0.706,shopping,0
343,55,10,1239.8,15.5,0.75,0.697,study,0
344,77,27,423.5,5.29,1.25,0.589,leisure,1
345,43,28,2637.7,32.97,0.5,0.403,commute,1
346,24,21,1644,20.55,2,0.673,study,0
347,23,28,935.1,11.69,0.5,0.536,commute,0
348,13,1,925.4,11.57,1,0.619,study,0
349,71,19,1769.7,22.12,0.5,0.803,leisure,1
350,24,21,1862.5,23.28,0.75,0.848,commute,1
351,5,28,1648.2,20.6,0.5,0.628,commute,0
352,14,25,1951.9,24.4,1,0.842,leisure,0
353,30,4,1736.1,21.7,1.25,0.389,leisure,0
354,28,30,338.8,4.23,1.75,0.55,study,0
355,40,3,1548.8,19.36,1.25,0.507,leisure,0
356,41,26,2036.9,25.46,1.75,0.347,study,0
357,34,13,1632.4,20.41,1.5,0.653,commute,0
358,57,25,511.8,6.4,1.5,0.795,commute,1
359,32,23,546.8,6.83,1.5,0.848,study,1
360,65,28,469.2,5.87,1.25,0.749,commute,0
361,20,4,453.7,5.67,2,0.393,shopping,0
362,31,12,847.9,10.6,0.75,0.392,shopping,0
363,2,8,434.2,5.43,1.25,0.636,shopping,0
364,27,21,2003.9,25.05,1.5,0.719,study,0
365,31,12,591.9,7.4,0.75,0.569,study,1
366,27,21,2350.5,29.38,1,0.872,leisure,0
367,13,1,953.4,11.92,1.25,0.589,commute,0
368,28,30,320.9,4.01,1.75,0.788,leisure,0
369,24,21,1901.7,23.77,1.25,0.778,study,0
370,71,19,1513.8,18.92,1.25,0.801,commute,0
371,65,28,825.8,10.32,0.75,0.751,commute,1
372,44,5,1204.1,15.05,1,0.704,commute,1
373,15,26,1286.8,16.08,1,0.657,leisure,0
374,44,5,1245.1,15.56,1,0.848,leisure,0
375,5,28,1593.5,19.92,0.75,0.634,commute,1
376,74,11,411.5,5.14,1.5,0.705,shopping,1
377,17,3,1421.5,17.77,1.5,0.358,shopping,0
378,65,28,662.2,8.28,1.75,0.881,commute,1
379,34,13,2126.8,26.58,1.25,0.949,commute,0
380,17,3,1486.6,18.58,1.5,0.273,leisure,0
381,28,30,355.3,4.44,0.75,0.363,shopping,1
382,80,26,609.8,7.62,1,0.741,commute,0
383,63,11,375,4.69,1,0.686,commute,1
384,66,17,1431.2,17.89,2,0.341,study,0
385,37,30,1614.6,20.18,1,0.434,leisure,0
386,17,3,1836.2,22.95,1,0.286,commute,0
387,23,28,836.2,10.45,1,0.915,commute,1
388,63,11,472.7,5.91,1.5,0.899,leisure,1
389,77,27,574.6,7.18,0.5,0.792,shopping,1
390,55,10,1304.2,16.3,1,0.643,shopping,0
391,67,25,1577.2,19.71,1.5,0.745,study,0
392,41,26,1359.8,17,0.75,0.761,leisure,1
393,14,25,1091,13.64,1,0.819,shopping,0
394,40,3,1688.1,21.1,1.25,0.3,study,0
395,45,28,1050.1,13.13,1.25,0.835,commute,1
396,12,8,1268.8,15.86,1,0.566,shopping,0
397,37,30,2521,31.51,0.75,0.548,commute,0
398,22,20,1441.3,18.02,1,0.519,shopping,1
399,72,28,1940.9,24.26,1,0.98,commute,1
400,76,2,501.8,6.27,1.25,0.512,leisure,0
401,77,27,509.7,6.37,0.5,0.925,commute,1
402,46,21,1112,13.9,0.75,0.753,commute,1
403,62,28,890.8,11.14,0.75,0.553,study,1
404,76,2,508.6,6.36,1.25,0.418,leisure,1
405,48,19,580.8,7.26,1,0.698,commute,0
406,4,5,1482.6,18.53,1.5,0.757,commute,0
407,16,25,1611.3,20.14,1,0.781,commute,0
408,17,3,1232.9,15.41,1,0.427,study,0
409,23,28,680.1,8.5,1.25,0.521,leisure,1
410,65,28,851.5,10.64,0.5,0.93,commute,1
411,65,28,578.6,7.23,1.25,0.684,commute,1
412,46,21,1720.9,21.51,0.5,0.633,commute,1
413,2,8,376.7,4.71,1,0.812,commute,1
414,63,11,270,3.37,1.25,0.661,commute,1
415,44,5,1526.5,19.08,0.75,0.8,leisure,0
416,45,28,1153.2,14.42,1,0.722,study,0
417,5,28,1898.7,23.73,1.5,0.615,study,0
418,75,10,1874.3,23.43,1,0.925,commute,0
419,78,26,775.3,9.69,0.75,0.533,study,0
420,7,26,297.5,3.72,0.75,0.538,leisure,1
421,18,21,559.1,6.99,1.5,0.691,study,1
422,27,21,2644.8,33.06,0.75,0.827,commute,1
423,64,28,485.7,6.07,1,0.98,commute,1
424,77,27,517.4,6.47,2,0.657,commute,0
425,8,8,304.9,3.81,1.5,0.491,leisure,0
426,18,21,500.5,6.26,1.75,0.842,commute,1
427,2,8,453.9,5.67,1.25,0.505,commute,0
428,28,30,265.5,3.32,1.5,0.629,leisure,0
429,19,17,473.2,5.91,1.25,0.29,commute,1
430,35,8,395.9,4.95,0.75,0.594,commute,1
431,53,5,1359.3,16.99,1.75,0.682,commute,0
432,40,3,1863.3,23.29,1.75,0.585,shopping,0
433,1,19,1318,16.48,1.5,0.756,shopping,0
434,3,12,777.1,9.71,0.75,0.443,study,1
435,41,26,1327.3,16.59,1.25,0.524,leisure,1
436,52,2,561.1,7.01,1.25,0.653,shopping,1
437,17,3,1560.8,19.51,0.75,0.325,shopping,0
438,59,28,3217,40.21,1,0.693,study,0
439,47,19,2413.4,30.17,0.75,0.559,shopping,0
440,34,13,1404.3,17.55,0.75,0.839,study,1
441,63,11,377.9,4.72,0.75,0.752,commute,0
442,43,28,2788.3,34.85,1.25,0.88,study,0
443,77,27,412.1,5.15,1,0.803,commute,0
444,45,28,1007.7,12.6,1,0.887,leisure,0
445,17,3,1860.4,23.25,1.25,0.438,leisure,0
446,6,28,1947.5,24.34,1.5,0.598,leisure,0
447,8,8,398.1,4.98,1,0.549,shopping,1
448,80,26,588.8,7.36,0.75,0.717,commute,0
449,68,11,219.9,2.75,1.25,0.838,study,1
450,79,28,638.8,7.98,1.5,0.701,study,1
451,3,12,682,8.53,1.5,0.673,commute,0
452,50,25,1661.7,20.77,1,0.745,study,0
453,58,26,1781.3,22.27,1.25,0.488,commute,0
454,62,28,581.8,7.27,1.25,0.759,leisure,0
455,28,30,234.3,2.93,0.75,0.235,leisure,1
456,10,11,1025.3,12.82,1,0.841,commute,0
457,36,13,1430.7,17.88,1.25,0.64,commute,0
458,49,17,1463.3,18.29,1,0.627,commute,0
459,77,27,458.2,5.73,1.5,0.808,leisure,0
460,59,28,3101.4,38.77,0.5,0.788,study,0
461,35,8,409.1,5.11,1.75,0.601,leisure,1
462,65,28,489.6,6.12,1,0.687,commute,1
463,49,17,1219.1,15.24,1,0.516,commute,1
464,2,8,298.7,3.73,0.75,0.695,study,1
465,23,28,752.5,9.41,0.75,0.559,commute,1
466,17,3,1822.7,22.78,1.5,0.475,study,1
467,27,21,2301,28.76,1.75,0.813,shopping,0
468,28,30,286,3.57,2,0.575,commute,1
469,9,19,952.3,11.9,1,0.739,study,0
470,23,28,508.8,6.36,1,0.859,commute,1
471,24,21,1783.1,22.29,1,0.858,leisure,0
472,18,21,505.2,6.31,0.75,0.845,study,1
473,62,28,1001.9,12.52,1.75,0.84,commute,0
474,14,25,1612.5,20.16,1.5,0.785,leisure,0
475,46,21,1412,17.65,2,0.958,commute,0
476,77,27,501.6,6.27,2,0.601,commute,0
477,40,3,1714.6,21.43,1.5,0.342,study,0
478,70,14,1028.8,12.86,1.75,0.391,study,0
479,74,11,415.3,5.19,1.25,0.884,commute,1
480,8,8,463.4,5.79,1,0.776,commute,1
481,11,23,1919.3,23.99,0.75,0.881,leisure,0
482,45,28,946.4,11.83,1,0.593,leisure,0
483,33,18,594.9,7.44,0.75,0.375,leisure,1
484,5,28,1432.2,17.9,0.5,0.777,study,0
485,6,28,2018.2,25.23,0.75,0.928,commute,0
486,16,25,1560.1,19.5,0.5,0.413,commute,1
487,56,14,1302.8,16.28,0.75,0.369,shopping,1
488,32,23,776.5,9.71,1.5,0.706,study,1
489,64,28,367.6,4.59,0.5,0.725,shopping,1
490,59,28,2549.4,31.87,1.75,0.682,commute,0
491,77,27,561.6,7.02,1.75,0.664,leisure,1
492,24,21,1848.8,23.11,1.25,0.889,commute,0
493,27,21,3196.6,39.96,1.5,0.614,leisure,0
494,57,25,648.1,8.1,0.5,0.622,commute,1
495,24,21,1917.5,23.97,1,0.718,study,0
496,47,19,1765.4,22.07,0.5,0.834,leisure,0
497,77,27,463.4,5.79,1.5,0.806,leisure,0
498,5,28,1497.8,18.72,1.25,0.894,leisure,0
499,24,21,1707.7,21.35,0.75,0.759,leisure,0
500,79,28,783.5,9.79,1,0.47,leisure,1
501,64,28,382.5,4.78,0.75,0.453,commute,1
502,51,15,896.1,11.2,1.25,0.665,shopping,0
503,56,14,1503.6,18.79,1,0.336,leisure,1
504,57,25,646.8,8.08,1.25,0.735,study,1
505,74,11,533.3,6.67,1,0.966,study,1
506,2,8,321.1,4.01,0.75,0.479,commute,0
507,29,24,367.5,4.59,1.25,0.389,commute,0
508,16,25,1717,21.46,1.25,0.72,commute,0
509,45,28,1091.4,13.64,1.5,0.683,leisure,0
510,50,25,1011.2,12.64,1.25,0.541,study,1
511,71,19,1814.5,22.68,1,0.881,shopping,0
512,64,28,274.7,3.43,1,0.797,study,1
513,14,25,1063.5,13.29,0.75,0.715,commute,1
514,17,3,1495.3,18.69,1.25,0.374,study,0
515,28,30,322.4,4.03,0.75,0.652,commute,1
516,77,27,467.5,5.84,1.75,0.648,commute,0
