person_id,zone_id,alternative,station_id,walking_time_min,price_eur,availability,bike_option,chosen
12,71,station_28,28,136.758,0.9,0.755,1,0
13,33,outside,0,0.0,0.0,0.0,0,1
13,33,station_8,8,102.404,1.25,0.35,1,0
13,33,station_19,19,53.528,1.25,0.9,1,0
13,33,station_25,25,79.257,0.9,0.666,1,0
13,33,station_28,28,138.237,0.9,0.755,1,0
14,39,outside,0,0.0,0.0,0.0,0,0
14,39,station_8,8,57.569,1.25,0.35,1,0
14,39,station_19,19,15.638,1.25,0.9,1,1
14,39,station_25,25,95.59,0.9,0.666,1,0
14,39,station_28,28,131.33,0.9,0.755,1,0
15,36,outside,0,0.0,0.0,0.0,0,1
15,36,station_8,8,49.761,1.25,0.35,1,0
15,36,station_19,19,23.538,1.25,0.9,1,0
15,36,station_25,25,101.025,0.9,0.666,1,0
15,36,station_28,28,130.581,0.9,0.755,1,0
16,63,outside,0,0.0,0.0,0.0,0,1
16,63,station_8,8,30.308,1.25,0.35,1,0
16,63,station_19,19,74.577,1.25,0.9,1,0
16,63,station_25,25,78.28,0.9,0.666,1,0
16,63,station_28,28,64.16,0.9,0.755,1,0
17,67,outside,0,0.0,0.0,0.0,0,1
17,67,station_8,8,75.235,1.25,0.35,1,0
17,67,station_19,19,63.443,1.25,0.9,1,0
17,67,station_25,25,16.514,0.9,0.666,1,0
17,67,station_28,28,71.834,0.9,0.755,1,0
18,1,outside,0,0.0,0.0,0.0,0,1
18,1,station_8,8,70.31,1.25,0.35,1,0
18,1,station_19,19,20.578,1.25,0.9,1,0
18,1,station_25,25,73.376,0.9,0.666,1,0
18,1,station_28,28,121.38,0.9,0.755,1,0
19,79,outside,0,0.0,0.0,0.0,0,0
19,79,station_8,8,99.13,1.25,0.35,1,0
19,79,station_19,19,126.347,1.25,0.9,1,0
19,79,station_25,25,72.25,0.9,0.666,1,0
19,79,station_28,28,8.805,0.9,0.755,1,1
20,27,outside,0,0.0,0.0,0.0,0,1
20,27,station_8,8,83.882,1.25,0.35,1,0
20,27,station_19,19,95.907,1.25,0.9,1,0
20,27,station_25,25,33.242,0.9,0.666,1,0
20,27,station_28,28,31.308,0.9,0.755,1,0
21,37,outside,0,0.0,0.0,0.0,0,1
21,37,station_8,8,68.494,1.25,0.35,1,0
21,37,station_19,19,27.417,1.25,0.9,1,0
21,37,station_25,25,59.272,0.9,0.666,1,0
21,37,station_28,28,109.137,0.9,0.755,1,0
22,79,outside,0,0.0,0.0,0.0,0,1
22,79,station_8,8,99.13,1.25,0.35,1,0
22,79,station_19,19,126.347,1.25,0.9,1,0
22,79,station_25,25,72.25,0.9,0.666,1,0
22,79,station_28,28,8.805,0.9,0.755,1,0
23,16,outside,0,0.0,0.0,0.0,0,1
23,16,station_8,8,76.931,1.25,0.35,1,0
23,16,station_19,19,80.887,1.25,0.9,1,0
23,16,station_25,25,18.805,0.9,0.666,1,0
23,16,station_28,28,47.707,0.9,0.755,1,0
24,13,outside,0,0.0,0.0,0.0,0,1
24,13,station_8,8,26.846,1.25,0.35,1,0
24,13,station_19,19,29.228,1.25,0.9,1,0
24,13,station_25,25,89.473,0.9,0.666,1,0
24,13,station_28,28,110.088,0.9,0.755,1,0
25,76,outside,0,0.0,0.0,0.0,0,1
25,76,station_8,8,84.21,1.25,0.35,1,0
25,76,station_19,19,124.474,1.25,0.9,1,0
25,76,station_25,25,93.218,0.9,0.666,1,0
25,76,station_28,28,36.679,0.9,0.755,1,0
26,29,outside,0,0.0,0.0,0.0,0,1
26,29,station_8,8,90.575,1.25,0.35,1,0
26,29,station_19,19,126.377,1.25,0.9,1,0
26,29,station_25,25,86.174,0.9,0.666,1,0
26,29,station_28,28,24.94,0.9,0.755,1,0
27,13,outside,0,0.0,0.0,0.0,0,1
27,13,station_8,8,26.846,1.25,0.35,1,0
27,13,station_19,19,29.228,1.25,0.9,1,0
27,13,station_25,25,89.473,0.9,0.666,1,0
27,13,station_28,28,110.088,0.9,0.755,1,0
28,78,outside,0,0.0,0.0,0.0,0,1
28,78,station_8,8,85.507,1.25,0.35,1,0
28,78,station_19,19,51.361,1.25,0.9,1,0
28,78,station_25,25,44.406,0.9,0.666,1,0
28,78,station_28,28,104.032,0.9,0.755,1,0
29,5,outside,0,0.0,0.0,0.0,0,1
29,5,station_8,8,100.125,1.25,0.35,1,0
29,5,station_19,19,116.708,1.25,0.9,1,0
29,5,station_25,25,51.061,0.9,0.666,1,0
29,5,station_28,28,20.857,0.9,0.755,1,0
30,31,outside,0,0.0,0.0,0.0,0,1
30,31,station_8,8,78.215,1.25,0.35,1,0
30,31,station_19,19,113.719,1.25,0.9,1,0
30,31,station_25,25,77.83,0.9,0.666,1,0
30,31,station_28,28,24.111,0.9,0.755,1,0
31,9,outside,0,0.0,0.0,0.0,0,1
31,9,station_8,8,60.179,1.25,0.35,1,0
31,9,station_19,19,10.891,1.25,0.9,1,0
31,9,station_25,25,89.553,0.9,0.666,1,0
31,9,station_28,28,128.538,0.9,0.755,1,0
32,46,outside,0,0.0,0.0,0.0,0,1
32,46,station_8,8,50.091,1.25,0.35,1,0
32,46,station_19,19,85.489,1.25,0.9,1,0
32,46,station_25,25,66.439,0.9,0.666,1,0
32,46,station_28,28,42.432,0.9,0.755,1,0
33,45,outside,0,0.0,0.0,0.0,0,1
33,45,station_8,8,106.32,1.25,0.35,1,0
33,45,station_19,19,130.298,1.25,0.9,1,0
33,45,station_25,25,70.449,0.9,0.666,1,0
33,45,station_28,28,14.633,0.9,0.755,1,0
34,6,outside,0,0.0,0.0,0.0,0,1
34,6,station_8,8,98.145,1.25,0.35,1,0
34,6,station_19,19,113.947,1.25,0.9,1,0
34,6,station_25,25,48.196,0.9,0.666,1,0
34,6,station_28,28,21.955,0.9,0.755,1,0
35,35,outside,0,0.0,0.0,0.0,0,0
35,35,station_8,8,5.157,1.25,0.35,1,1
35,35,station_19,19,56.506,1.25,0.9,1,0
35,35,station_25,25,92.499,0.9,0.666,1,0
35,35,station_28,28,94.18,0.9,0.755,1,0
36,28,outside,0,0.0,0.0,0.0,0,1
36,28,station_8,8,45.893,1.25,0.35,1,0
36,28,station_19,19,17.858,1.25,0.9,1,0
36,28,station_25,25,63.65,0.9,0.666,1,0
36,28,station_28,28,100.112,0.9,0.755,1,0
37,14,outside,0,0.0,0.0,0.0,0,1
37,14,station_8,8,69.896,1.25,0.35,1,0
37,14,station_19,19,67.32,1.25,0.9,1,0
37,14,station_25,25,17.838,0.9,0.666,1,0
37,14,station_28,28,60.29,0.9,0.755,1,0
38,80,outside,0,0.0,0.0,0.0,0,1
38,80,station_8,8,79.716,1.25,0.35,1,0
38,80,station_19,19,50.2,1.25,0.9,1,0
38,80,station_25,25,38.164,0.9,0.666,1,0
38,80,station_28,28,96.269,0.9,0.755,1,0
39,3,outside,0,0.0,0.0,0.0,0,1
39,3,station_8,8,66.181,1.25,0.35,1,0
39,3,station_19,19,106.175,1.25,0.9,1,0
39,3,station_25,25,81.895,0.9,0.666,1,0
39,3,station_28,28,37.637,0.9,0.755,1,0
40,14,outside,0,0.0,0.0,0.0,0,1
40,14,station_8,8,69.896,1.25,0.35,1,0
40,14,station_19,19,67.32,1.25,0.9,1,0
40,14,station_25,25,17.838,0.9,0.666,1,0
40,14,station_28,28,60.29,0.9,0.755,1,0
41,39,outside,0,0.0,0.0,0.0,0,1
41,39,station_8,8,57.569,1.25,0.35,1,0
41,39,station_19,19,15.638,1.25,0.9,1,0
41,39,station_25,25,95.59,0.9,0.666,1,0
41,39,station_28,28,131.33,0.9,0.755,1,0
42,62,outside,0,0.0,0.0,0.0,0,0
42,62,station_8,8,101.631,1.25,0.35,1,0
42,62,station_19,19,125.187,1.25,0.9,1,0
42,62,station_25,25,66.178,0.9,0.666,1,0
42,62,station_28,28,10.43,0.9,0.755,1,1
43,64,outside,0,0.0,0.0,0.0,0,0
43,64,station_8,8,88.473,1.25,0.35,1,0
43,64,station_19,19,113.427,1.25,0.9,1,0
43,64,station_25,25,60.627,0.9,0.666,1,0
43,64,station_28,28,4.372,0.9,0.755,1,1
44,8,outside,0,0.0,0.0,0.0,0,0
44,8,station_8,8,4.571,1.25,0.35,1,1
44,8,station_19,19,49.873,1.25,0.9,1,0
44,8,station_25,25,83.221,0.9,0.666,1,0
44,8,station_28,28,89.191,0.9,0.755,1,0
45,42,outside,0,0.0,0.0,0.0,0,0
45,42,station_8,8,67.43,1.25,0.35,1,0
45,42,station_19,19,14.888,1.25,0.9,1,1
45,42,station_25,25,85.138,0.9,0.666,1,0
45,42,station_28,28,128.906,0.9,0.755,1,0
46,14,outside,0,0.0,0.0,0.0,0,1
46,14,station_8,8,69.896,1.25,0.35,1,0
46,14,station_19,19,67.32,1.25,0.9,1,0
46,14,station_25,25,17.838,0.9,0.666,1,0
46,14,station_28,28,60.29,0.9,0.755,1,0
47,80,outside,0,0.0,0.0,0.0,0,1
47,80,station_8,8,79.716,1.25,0.35,1,0
47,80,station_19,19,50.2,1.25,0.9,1,0
47,80,station_25,25,38.164,0.9,0.666,1,0
47,80,station_28,28,96.269,0.9,0.755,1,0
48,53,outside,0,0.0,0.0,0.0,0,1
48,53,station_8,8,107.748,1.25,0.35,1,0
48,53,station_19,19,153.115,1.25,0.9,1,0
48,53,station_25,25,125.618,0.9,0.666,1,0
48,53,station_28,28,65.388,0.9,0.755,1,0
49,59,outside,0,0.0,0.0,0.0,0,1
49,59,station_8,8,101.758,1.25,0.35,1,0
49,59,station_19,19,111.107,1.25,0.9,1,0
49,59,station_25,25,38.654,0.9,0.666,1,0
49,59,station_28,28,35.203,0.9,0.755,1,0
50,63,outside,0,0.0,0.0,0.0,0,1
50,63,station_8,8,30.308,1.25,0.35,1,0
50,63,station_19,19,74.577,1.25,0.9,1,0
50,63,station_25,25,78.28,0.9,0.666,1,0
50,63,station_28,28,64.16,0.9,0.755,1,0
51,77,outside,0,0.0,0.0,0.0,0,0
51,77,station_8,8,15.566,1.25,0.35,1,1
51,77,station_19,19,38.912,1.25,0.9,1,0
51,77,station_25,25,76.359,0.9,0.666,1,0
51,77,station_28,28,90.868,0.9,0.755,1,0
52,9,outside,0,0.0,0.0,0.0,0,1
52,9,station_8,8,60.179,1.25,0.35,1,0
52,9,station_19,19,10.891,1.25,0.9,1,0
52,9,station_25,25,89.553,0.9,0.666,1,0
52,9,station_28,28,128.538,0.9,0.755,1,0
53,29,outside,0,0.0,0.0,0.0,0,1
53,29,station_8,8,90.575,1.25,0.35,1,0
53,29,station_19,19,126.377,1.25,0.9,1,0
53,29,station_25,25,86.174,0.9,0.666,1,0
53,29,station_28,28,24.94,0.9,0.755,1,0
54,14,outside,0,0.0,0.0,0.0,0,1
54,14,station_8,8,69.896,1.25,0.35,1,0
54,14,station_19,19,67.32,1.25,0.9,1,0
54,14,station_25,25,17.838,0.9,0.666,1,0
54,14,station_28,28,60.29,0.9,0.755,1,0
55,66,outside,0,0.0,0.0,0.0,0,1
55,66,station_8,8,130.066,1.25,0.35,1,0
55,66,station_19,19,166.347,1.25,0.9,1,0
55,66,station_25,25,117.664,0.9,0.666,1,0
55,66,station_28,28,53.6,0.9,0.755,1,0
56,18,outside,0,0.0,0.0,0.0,0,1
56,18,station_8,8,57.722,1.25,0.35,1,0
56,18,station_19,19,85.165,1.25,0.9,1,0
56,18,station_25,25,54.276,0.9,0.666,1,0
56,18,station_28,28,34.63,0.9,0.755,1,0
57,57,outside,0,0.0,0.0,0.0,0,1
57,57,station_8,8,83.823,1.25,0.35,1,0
57,57,station_19,19,81.369,1.25,0.9,1,0
57,57,station_25,25,8.476,0.9,0.666,1,0
57,57,station_28,28,56.282,0.9,0.755,1,0
58,4,outside,0,0.0,0.0,0.0,0,1
58,4,station_8,8,123.283,1.25,0.35,1,0
58,4,station_19,19,160.772,1.25,0.9,1,0
58,4,station_25,25,115.162,0.9,0.666,1,0
58,4,station_28,28,50.64,0.9,0.755,1,0
59,2,outside,0,0.0,0.0,0.0,0,0
59,2,station_8,8,4.679,1.25,0.35,1,1
59,2,station_19,19,57.165,1.25,0.9,1,0
59,2,station_25,25,90.696,0.9,0.666,1,0
59,2,station_28,28,91.632,0.9,0.755,1,0
60,31,outside,0,0.0,0.0,0.0,0,1
60,31,station_8,8,78.215,1.25,0.35,1,0
60,31,station_19,19,113.719,1.25,0.9,1,0
60,31,station_25,25,77.83,0.9,0.666,1,0
60,31,station_28,28,24.111,0.9,0.755,1,0
61,28,outside,0,0.0,0.0,0.0,0,1
61,28,station_8,8,45.893,1.25,0.35,1,0
61,28,station_19,19,17.858,1.25,0.9,1,0
61,28,station_25,25,63.65,0.9,0.666,1,0
61,28,station_28,28,100.112,0.9,0.755,1,0
62,37,outside,0,0.0,0.0,0.0,0,1
62,37,station_8,8,68.494,1.25,0.35,1,0
62,37,station_19,19,27.417,1.25,0.9,1,0
62,37,station_25,25,59.272,0.9,0.666,1,0
62,37,station_28,28,109.137,0.9,0.755,1,0
63,71,outside,0,0.0,0.0,0.0,0,1
63,71,station_8,8,58.007,1.25,0.35,1,0
63,71,station_19,19,24.109,1.25,0.9,1,0
63,71,station_25,25,103.797,0.9,0.666,1,0
63,71,station_28,28,136.758,0.9,0.755,1,0
64,40,outside,0,0.0,0.0,0.0,0,1
64,40,station_8,8,50.28,1.25,0.35,1,0
64,40,station_19,19,63.179,1.25,0.9,1,0
64,40,station_25,25,39.841,0.9,0.666,1,0
64,40,station_28,28,54.545,0.9,0.755,1,0
65,33,outside,0,0.0,0.0,0.0,0,1
65,33,station_8,8,102.404,1.25,0.35,1,0
65,33,station_19,19,53.528,1.25,0.9,1,0
65,33,station_25,25,79.257,0.9,0.666,1,0
65,33,station_28,28,138.237,0.9,0.755,1,0
66,55,outside,0,0.0,0.0,0.0,0,1
66,55,station_8,8,70.571,1.25,0.35,1,0
66,55,station_19,19,22.336,1.25,0.9,1,0
66,55,station_25,25,98.744,0.9,0.666,1,0
66,55,station_28,28,139.9,0.9,0.755,1,0
67,13,outside,0,0.0,0.0,0.0,0,1
67,13,station_8,8,26.846,1.25,0.35,1,0
67,13,station_19,19,29.228,1.25,0.9,1,0
67,13,station_25,25,89.473,0.9,0.666,1,0
67,13,station_28,28,110.088,0.9,0.755,1,0
68,27,outside,0,0.0,0.0,0.0,0,1
68,27,station_8,8,83.882,1.25,0.35,1,0
68,27,station_19,19,95.907,1.25,0.9,1,0
68,27,station_25,25,33.242,0.9,0.666,1,0
68,27,station_28,28,31.308,0.9,0.755,1,0
69,77,outside,0,0.0,0.0,0.0,0,1
69,77,station_8,8,15.566,1.25,0.35,1,0
69,77,station_19,19,38.912,1.25,0.9,1,0
69,77,station_25,25,76.359,0.9,0.666,1,0
69,77,station_28,28,90.868,0.9,0.755,1,0
70,5,outside,0,0.0,0.0,0.0,0,1
70,5,station_8,8,100.125,1.25,0.35,1,0
70,5,station_19,19,116.708,1.25,0.9,1,0
70,5,station_25,25,51.061,0.9,0.666,1,0
70,5,station_28,28,20.857,0.9,0.755,1,0
71,80,outside,0,0.0,0.0,0.0,0,1
71,80,station_8,8,79.716,1.25,0.35,1,0
71,80,station_19,19,50.2,1.25,0.9,1,0
71,80,station_25,25,38.164,0.9,0.666,1,0
71,80,station_28,28,96.269,0.9,0.755,1,0
72,79,outside,0,0.0,0.0,0.0,0,0
72,79,station_8,8,99.13,1.25,0.35,1,0
72,79,station_19,19,126.347,1.25,0.9,1,0
72,79,station_25,25,72.25,0.9,0.666,1,0
72,79,station_28,28,8.805,0.9,0.755,1,1
73,41,outside,0,0.0,0.0,0.0,0,1
73,41,station_8,8,84.6,1.25,0.35,1,0
73,41,station_19,19,44.709,1.25,0.9,1,0
73,41,station_25,25,54.471,0.9,0.666,1,0
73,41,station_28,28,112.197,0.9,0.755,1,0
74,67,outside,0,0.0,0.0,0.0,0,1
74,67,station_8,8,75.235,1.25,0.35,1,0
74,67,station_19,19,63.443,1.25,0.9,1,0
74,67,station_25,25,16.514,0.9,0.666,1,0
74,67,station_28,28,71.834,0.9,0.755,1,0
75,24,outside,0,0.0,0.0,0.0,0,1
75,24,station_8,8,59.502,1.25,0.35,1,0
75,24,station_19,19,71.183,1.25,0.9,1,0
75,24,station_25,25,33.7,0.9,0.666,1,0
75,24,station_28,28,47.589,0.9,0.755,1,0
76,29,outside,0,0.0,0.0,0.0,0,1
76,29,station_8,8,90.575,1.25,0.35,1,0
76,29,station_19,19,126.377,1.25,0.9,1,0
76,29,station_25,25,86.174,0.9,0.666,1,0
76,29,station_28,28,24.94,0.9,0.755,1,0
77,57,outside,0,0.0,0.0,0.0,0,0
77,57,station_8,8,83.823,1.25,0.35,1,0
77,57,station_19,19,81.369,1.25,0.9,1,0
77,57,station_25,25,8.476,0.9,0.666,1,1
77,57,station_28,28,56.282,0.9,0.755,1,0
78,58,outside,0,0.0,0.0,0.0,0,1
78,58,station_8,8,70.988,1.25,0.35,1,0
78,58,station_19,19,46.308,1.25,0.9,1,0
78,58,station_25,25,35.817,0.9,0.666,1,0
78,58,station_28,28,89.487,0.9,0.755,1,0
79,21,outside,0,0.0,0.0,0.0,0,1
79,21,station_8,8,129.476,1.25,0.35,1,0
79,21,station_19,19,167.479,1.25,0.9,1,0
79,21,station_25,25,121.663,0.9,0.666,1,0
79,21,station_28,28,57.205,0.9,0.755,1,0
80,3,outside,0,0.0,0.0,0.0,0,1
80,3,station_8,8,66.181,1.25,0.35,1,0
80,3,station_19,19,106.175,1.25,0.9,1,0
80,3,station_25,25,81.895,0.9,0.666,1,0
80,3,station_28,28,37.637,0.9,0.755,1,0
81,13,outside,0,0.0,0.0,0.0,0,1
81,13,station_8,8,26.846,1.25,0.35,1,0
81,13,station_19,19,29.228,1.25,0.9,1,0
81,13,station_25,25,89.473,0.9,0.666,1,0
81,13,station_28,28,110.088,0.9,0.755,1,0
82,22,outside,0,0.0,0.0,0.0,0,1
82,22,station_8,8,75.15,1.25,0.35,1,0
82,22,station_19,19,59.51,1.25,0.9,1,0
82,22,station_25,25,21.007,0.9,0.666,1,0
82,22,station_28,28,77.226,0.9,0.755,1,0
83,18,outside,0,0.0,0.0,0.0,0,1
83,18,station_8,8,57.722,1.25,0.35,1,0
83,18,station_19,19,85.165,1.25,0.9,1,0
83,18,station_25,25,54.276,0.9,0.666,1,0
83,18,station_28,28,34.63,0.9,0.755,1,0
84,7,outside,0,0.0,0.0,0.0,0,1
84,7,station_8,8,85.244,1.25,0.35,1,0
84,7,station_19,19,55.162,1.25,0.9,1,0
84,7,station_25,25,37.637,0.9,0.666,1,0
84,7,station_28,28,98.08,0.9,0.755,1,0
85,6,outside,0,0.0,0.0,0.0,0,1
85,6,station_8,8,98.145,1.25,0.35,1,0
85,6,station_19,19,113.947,1.25,0.9,1,0
85,6,station_25,25,48.196,0.9,0.666,1,0
85,6,station_28,28,21.955,0.9,0.755,1,0
86,19,outside,0,0.0,0.0,0.0,0,1
86,19,station_8,8,135.682,1.25,0.35,1,0
86,19,station_19,19,169.296,1.25,0.9,1,0
86,19,station_25,25,115.78,0.9,0.666,1,0
86,19,station_28,28,53.427,0.9,0.755,1,0
87,22,outside,0,0.0,0.0,0.0,0,1
87,22,station_8,8,75.15,1.25,0.35,1,0
87,22,station_19,19,59.51,1.25,0.9,1,0
87,22,station_25,25,21.007,0.9,0.666,1,0
87,22,station_28,28,77.226,0.9,0.755,1,0
88,8,outside,0,0.0,0.0,0.0,0,0
88,8,station_8,8,4.571,1.25,0.35,1,1
88,8,station_19,19,49.873,1.25,0.9,1,0
88,8,station_25,25,83.221,0.9,0.666,1,0
88,8,station_28,28,89.191,0.9,0.755,1,0
89,24,outside,0,0.0,0.0,0.0,0,1
89,24,station_8,8,59.502,1.25,0.35,1,0
89,24,station_19,19,71.183,1.25,0.9,1,0
89,24,station_25,25,33.7,0.9,0.666,1,0
89,24,station_28,28,47.589,0.9,0.755,1,0
90,2,outside,0,0.0,0.0,0.0,0,1
90,2,station_8,8,4.679,1.25,0.35,1,0
90,2,station_19,19,57.165,1.25,0.9,1,0
90,2,station_25,25,90.696,0.9,0.666,1,0
90,2,station_28,28,91.632,0.9,0.755,1,0
91,80,outside,0,0.0,0.0,0.0,0,1
91,80,station_8,8,79.716,1.25,0.35,1,0
91,80,station_19,19,50.2,1.25,0.9,1,0
91,80,station_25,25,38.164,0.9,0.666,1,0
91,80,station_28,28,96.269,0.9,0.755,1,0
92,17,outside,0,0.0,0.0,0.0,0,1
92,17,station_8,8,63.784,1.25,0.35,1,0
92,17,station_19,19,70.418,1.25,0.9,1,0
92,17,station_25,25,27.153,0.9,0.666,1,0
92,17,station_28,28,50.824,0.9,0.755,1,0
93,10,outside,0,0.0,0.0,0.0,0,1
93,10,station_8,8,39.742,1.25,0.35,1,0
93,10,station_19,19,76.751,1.25,0.9,1,0
93,10,station_25,25,67.733,0.9,0.666,1,0
93,10,station_28,28,52.375,0.9,0.755,1,0
94,76,outside,0,0.0,0.0,0.0,0,1
94,76,station_8,8,84.21,1.25,0.35,1,0
94,76,station_19,19,124.474,1.25,0.9,1,0
94,76,station_25,25,93.218,0.9,0.666,1,0
94,76,station_28,28,36.679,0.9,0.755,1,0
95,79,outside,0,0.0,0.0,0.0,0,0
95,79,station_8,8,99.13,1.25,0.35,1,0
95,79,station_19,19,126.347,1.25,0.9,1,0
95,79,station_25,25,72.25,0.9,0.666,1,0
95,79,station_28,28,8.805,0.9,0.755,1,1
96,58,outside,0,0.0,0.0,0.0,0,1
96,58,station_8,8,70.988,1.25,0.35,1,0
96,58,station_19,19,46.308,1.25,0.9,1,0
96,58,station_25,25,35.817,0.9,0.666,1,0
96,58,station_28,28,89.487,0.9,0.755,1,0
97,73,outside,0,0.0,0.0,0.0,0,1
97,73,station_8,8,135.206,1.25,0.35,1,0
97,73,station_19,19,154.215,1.25,0.9,1,0
97,73,station_25,25,84.187,0.9,0.666,1,0
97,73,station_28,28,44.458,0.9,0.755,1,0
98,67,outside,0,0.0,0.0,0.0,0,1
98,67,station_8,8,75.235,1.25,0.35,1,0
98,67,station_19,19,63.443,1.25,0.9,1,0
98,67,station_25,25,16.514,0.9,0.666,1,0
98,67,station_28,28,71.834,0.9,0.755,1,0
99,31,outside,0,0.0,0.0,0.0,0,1
99,31,station_8,8,78.215,1.25,0.35,1,0
99,31,station_19,19,113.719,1.25,0.9,1,0
99,31,station_25,25,77.83,0.9,0.666,1,0
99,31,station_28,28,24.111,0.9,0.755,1,0
100,47,outside,0,0.0,0.0,0.0,0,1
100,47,station_8,8,69.469,1.25,0.35,1,0
100,47,station_19,19,26.159,1.25,0.9,1,0
100,47,station_25,25,62.253,0.9,0.666,1,0
100,47,station_28,28,112.087,0.9,0.755,1,0
101,64,outside,0,0.0,0.0,0.0,0,0
101,64,station_8,8,88.473,1.25,0.35,1,0
101,64,station_19,19,113.427,1.25,0.9,1,0
101,64,station_25,25,60.627,0.9,0.666,1,0
101,64,station_28,28,4.372,0.9,0.755,1,1
102,41,outside,0,0.0,0.0,0.0,0,1
102,41,station_8,8,84.6,1.25,0.35,1,0
102,41,station_19,19,44.709,1.25,0.9,1,0
102,41,station_25,25,54.471,0.9,0.666,1,0
102,41,station_28,28,112.197,0.9,0.755,1,0
103,17,outside,0,0.0,0.0,0.0,0,1
103,17,station_8,8,63.784,1.25,0.35,1,0
103,17,station_19,19,70.418,1.25,0.9,1,0
103,17,station_25,25,27.153,0.9,0.666,1,0
103,17,station_28,28,50.824,0.9,0.755,1,0
104,14,outside,0,0.0,0.0,0.0,0,1
104,14,station_8,8,69.896,1.25,0.35,1,0
104,14,station_19,19,67.32,1.25,0.9,1,0
104,14,station_25,25,17.838,0.9,0.666,1,0
104,14,station_28,28,60.29,0.9,0.755,1,0
105,24,outside,0,0.0,0.0,0.0,0,1
105,24,station_8,8,59.502,1.25,0.35,1,0
105,24,station_19,19,71.183,1.25,0.9,1,0
105,24,station_25,25,33.7,0.9,0.666,1,0
105,24,station_28,28,47.589,0.9,0.755,1,0
106,54,outside,0,0.0,0.0,0.0,0,1
106,54,station_8,8,62.425,1.25,0.35,1,0
106,54,station_19,19,108.183,1.25,0.9,1,0
106,54,station_25,25,94.799,0.9,0.666,1,0
106,54,station_28,28,53.296,0.9,0.755,1,0
107,51,outside,0,0.0,0.0,0.0,0,1
107,51,station_8,8,46.117,1.25,0.35,1,0
107,51,station_19,19,95.044,1.25,0.9,1,0
107,51,station_25,25,95.245,0.9,0.666,1,0
107,51,station_28,28,65.741,0.9,0.755,1,0
108,76,outside,0,0.0,0.0,0.0,0,1
108,76,station_8,8,84.21,1.25,0.35,1,0
108,76,station_19,19,124.474,1.25,0.9,1,0
108,76,station_25,25,93.218,0.9,0.666,1,0
